team,rank,country,level,elo,from,to,league
Real Madrid,2.0,ESP,1,1969.38781738,2024-01-22,2024-01-27,ESP-La Liga
Barcelona,8.0,ESP,1,1872.75512695,2024-01-22,2024-01-27,ESP-La Liga
Atletico,10.0,ESP,1,1865.11474609,2024-01-23,2024-01-28,ESP-La Liga
Sociedad,17.0,ESP,1,1819.72668457,2024-01-23,2024-01-27,ESP-La Liga
Girona,23.0,ESP,1,1794.39990234,2024-01-22,2024-01-28,ESP-La Liga
Bilbao,29.0,ESP,1,1772.3972168,2024-01-21,2024-01-28,ESP-La Liga
Betis,41.0,ESP,1,1723.16052246,2024-01-23,2024-01-27,ESP-La Liga
Valencia,47.0,ESP,1,1712.64355469,2024-01-21,2024-01-28,ESP-La Liga
Villarreal,59.0,ESP,1,1688.81469727,2024-01-22,2024-01-27,ESP-La Liga
Getafe,64.0,ESP,1,1670.3236084,2024-01-22,2024-01-29,ESP-La Liga
Sevilla,70.0,ESP,1,1662.39868164,2024-01-22,2024-01-28,ESP-La Liga
Osasuna,71.0,ESP,1,1660.08422852,2024-01-22,2024-01-28,ESP-La Liga
Las Palmas,74.0,ESP,1,1654.02758789,2024-01-22,2024-01-27,ESP-La Liga
Mallorca,82.0,ESP,1,1645.7409668,2024-01-22,2024-01-27,ESP-La Liga
Rayo Vallecano,85.0,ESP,1,1640.13098145,2024-01-21,2024-01-27,ESP-La Liga
Celta,91.0,ESP,1,1632.81994629,2024-01-21,2024-01-28,ESP-La Liga
Alaves,,ESP,1,1615.15527344,2024-01-20,2024-01-26,ESP-La Liga
Espanyol,,ESP,2,1598.12927246,2024-01-21,2024-01-28,
Cadiz,,ESP,1,1596.62426758,2024-01-20,2024-01-28,ESP-La Liga
Levante,,ESP,2,1587.98754883,2024-01-22,2024-01-27,
Eibar,,ESP,2,1575.38110352,2024-01-22,2024-01-26,
Leganes,,ESP,2,1574.69140625,2024-01-23,2024-01-27,
Valladolid,,ESP,2,1573.54638672,2024-01-22,2024-02-21,
Granada,,ESP,1,1568.6184082,2024-01-23,2024-01-29,ESP-La Liga
Oviedo,,ESP,2,1563.7578125,2024-01-21,2024-01-27,
Elche,,ESP,2,1557.53027344,2024-01-22,2024-01-28,
Almeria,,ESP,1,1554.53259277,2024-01-22,2024-01-26,ESP-La Liga
Gijon,,ESP,2,1539.54077148,2024-01-21,2024-01-28,
Tenerife,,ESP,2,1509.66210938,2024-01-21,2024-01-27,
Burgos,,ESP,2,1500.63891602,2024-01-23,2024-01-28,
Santander,,ESP,2,1500.24572754,2024-01-22,2024-02-21,
Zaragoza,,ESP,2,1497.14770508,2024-01-21,2024-01-27,
Mirandes,,ESP,2,1495.87719727,2024-01-22,2024-01-26,
Ferrol,,ESP,2,1491.99279785,2024-01-21,2024-01-28,
Huesca,,ESP,2,1480.81115723,2024-01-22,2024-01-28,
Andorra CF,,ESP,2,1476.82470703,2024-01-21,2024-01-28,
Albacete,,ESP,2,1470.96325684,2024-01-21,2024-01-28,
Eldense,,ESP,2,1459.10192871,2024-01-21,2024-01-28,
Cartagena,,ESP,2,1458.25170898,2024-01-22,2024-01-27,
Villarreal B,,ESP,2,1436.2845459,2024-01-21,2024-01-28,
Alcorcon,,ESP,2,1428.15673828,2024-01-21,2024-01-27,
Amorebieta,,ESP,2,1386.06115723,2024-01-21,2024-01-27,
