league,season,team,players_used,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,url
,,,,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,
ESP-La Liga,2324,Alavés,27,21,477,22.71,330,45,35,31,28,8,29,1.38,22,0,2,3,2,0,/en/squads/8d6fd021/Alaves-Stats
ESP-La Liga,2324,Almería,28,21,442,21.05,305,41,27,29,31,9,33,1.57,17,3,5,5,3,0,/en/squads/78ecf4bb/Almeria-Stats
ESP-La Liga,2324,Athletic Club,25,21,508,24.19,376,48,35,22,19,8,68,3.24,56,2,4,2,3,1,/en/squads/2b390eca/Athletic-Club-Stats
ESP-La Liga,2324,Atlético Madrid,23,20,452,22.6,349,32,33,19,16,3,71,3.55,57,1,8,3,2,0,/en/squads/db3b9613/Atletico-Madrid-Stats
ESP-La Liga,2324,Barcelona,27,20,595,29.75,461,33,41,38,17,5,69,3.45,52,3,4,6,4,0,/en/squads/206d90db/Barcelona-Stats
ESP-La Liga,2324,Betis,32,21,519,24.71,381,46,29,41,14,8,40,1.9,27,2,3,6,1,1,/en/squads/fc536746/Real-Betis-Stats
ESP-La Liga,2324,Celta Vigo,26,21,502,23.9,371,42,29,27,28,5,32,1.52,20,2,2,4,4,0,/en/squads/f25da7fb/Celta-Vigo-Stats
ESP-La Liga,2324,Cádiz,30,21,332,15.81,214,48,12,23,26,9,22,1.05,12,3,0,3,3,1,/en/squads/ee7c297c/Cadiz-Stats
ESP-La Liga,2324,Getafe,26,20,390,19.5,282,52,13,22,14,7,45,2.25,26,7,5,5,2,0,/en/squads/7848bd64/Getafe-Stats
ESP-La Liga,2324,Girona,23,21,492,23.43,392,36,20,22,14,8,92,4.38,76,4,4,3,4,1,/en/squads/9024a00a/Girona-Stats
ESP-La Liga,2324,Granada,32,21,391,18.62,255,37,37,27,25,10,36,1.71,25,2,3,1,3,2,/en/squads/a0435291/Granada-Stats
ESP-La Liga,2324,Las Palmas,26,21,379,18.05,309,17,17,13,17,6,37,1.76,30,1,1,1,3,1,/en/squads/0049d422/Las-Palmas-Stats
ESP-La Liga,2324,Mallorca,21,21,403,19.19,268,60,18,30,21,6,33,1.57,23,6,0,3,1,0,/en/squads/2aa12281/Mallorca-Stats
ESP-La Liga,2324,Osasuna,24,20,391,19.55,287,40,12,24,24,4,39,1.95,22,5,1,6,5,0,/en/squads/03c57e2b/Osasuna-Stats
ESP-La Liga,2324,Rayo Vallecano,24,20,435,21.75,297,40,18,29,41,10,27,1.35,14,2,3,3,4,1,/en/squads/98e8af82/Rayo-Vallecano-Stats
ESP-La Liga,2324,Real Madrid,23,20,603,30.15,451,40,48,36,21,7,76,3.8,51,7,7,9,1,1,/en/squads/53a2f082/Real-Madrid-Stats
ESP-La Liga,2324,Real Sociedad,28,21,418,19.9,282,39,33,30,22,12,49,2.33,32,2,5,6,3,1,/en/squads/e31d1cd9/Real-Sociedad-Stats
ESP-La Liga,2324,Sevilla,33,21,567,27.0,419,57,24,26,35,6,43,2.05,31,2,4,3,2,1,/en/squads/ad2be733/Sevilla-Stats
ESP-La Liga,2324,Valencia,25,21,355,16.9,259,35,20,11,23,7,45,2.14,35,2,4,2,2,0,/en/squads/dcc91a7b/Valencia-Stats
ESP-La Liga,2324,Villarreal,28,21,436,20.76,323,34,30,29,13,7,47,2.24,32,3,3,4,5,0,/en/squads/2a8183b3/Villarreal-Stats
