league,season,team,players_used,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,url
,,,,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,
ESP-La Liga,2324,Alavés,1,21,27,7,0,1,2,26.0,0.25,1.0,0.05,160,393,40.7,472,67,59.7,43.3,191,58.1,42.3,302,14,4.6,21,1.0,15.0,/en/squads/8d6fd021/Alaves-Stats
ESP-La Liga,2324,Almería,3,21,46,5,0,6,0,42.9,0.35,-3.1,-0.15,98,352,27.8,581,104,40.6,24.1,196,59.2,45.0,331,16,4.8,28,1.33,22.7,/en/squads/78ecf4bb/Almeria-Stats
ESP-La Liga,2324,Athletic Club,1,21,21,0,0,2,1,24.2,0.31,4.2,0.2,129,420,30.7,603,88,49.6,39.0,151,80.1,58.9,272,19,7.0,38,1.81,18.0,/en/squads/2b390eca/Athletic-Club-Stats
ESP-La Liga,2324,Atlético Madrid,1,20,23,1,0,2,0,20.4,0.24,-2.6,-0.13,59,180,32.8,381,99,24.1,30.9,175,50.3,40.1,330,18,5.5,13,0.65,12.9,/en/squads/db3b9613/Atletico-Madrid-Stats
ESP-La Liga,2324,Barcelona,2,20,24,0,0,1,0,23.9,0.32,-0.1,-0.01,47,85,55.3,503,79,12.9,25.5,121,16.5,24.5,219,10,4.6,20,1.0,15.8,/en/squads/206d90db/Barcelona-Stats
ESP-La Liga,2324,Betis,3,21,24,4,1,0,1,25.3,0.25,2.3,0.11,105,282,37.2,575,98,35.0,30.6,162,50.0,41.2,309,22,7.1,22,1.05,12.6,/en/squads/fc536746/Real-Betis-Stats
ESP-La Liga,2324,Celta Vigo,2,21,31,4,0,2,0,33.4,0.31,2.4,0.11,98,291,33.7,428,95,40.7,37.7,164,71.3,51.3,324,21,6.5,22,1.05,13.4,/en/squads/f25da7fb/Celta-Vigo-Stats
ESP-La Liga,2324,Cádiz,2,21,31,2,0,2,0,33.6,0.31,2.6,0.13,213,522,40.8,561,74,63.6,43.5,189,87.3,61.9,382,35,9.2,21,1.0,11.8,/en/squads/ee7c297c/Cadiz-Stats
ESP-La Liga,2324,Getafe,1,20,28,3,0,3,0,30.3,0.3,2.3,0.11,204,510,40.0,526,65,70.0,46.5,172,82.6,56.2,241,11,4.6,33,1.65,17.0,/en/squads/7848bd64/Getafe-Stats
ESP-La Liga,2324,Girona,1,21,25,2,0,6,0,28.4,0.28,3.4,0.16,84,250,33.6,601,103,29.0,30.9,174,43.7,39.5,332,25,7.5,10,0.48,10.5,/en/squads/9024a00a/Girona-Stats
ESP-La Liga,2324,Granada,3,21,42,3,0,4,2,39.7,0.35,-0.3,-0.02,99,270,36.7,569,118,32.5,35.7,156,54.5,42.4,281,15,5.3,24,1.14,17.3,/en/squads/a0435291/Granada-Stats
ESP-La Liga,2324,Las Palmas,1,21,17,3,0,2,0,28.4,0.28,11.4,0.54,100,309,32.4,955,120,27.5,29.1,149,30.9,29.2,350,23,6.6,55,2.62,16.9,/en/squads/0049d422/Las-Palmas-Stats
ESP-La Liga,2324,Mallorca,1,21,25,4,1,2,0,27.5,0.29,2.5,0.12,189,470,40.2,517,54,64.2,45.9,196,70.4,52.8,302,25,8.3,16,0.76,12.8,/en/squads/2aa12281/Mallorca-Stats
ESP-La Liga,2324,Osasuna,2,20,31,1,0,6,0,27.7,0.35,-3.3,-0.16,164,405,40.5,566,60,53.7,40.8,164,61.6,45.9,305,15,4.9,18,0.9,15.2,/en/squads/03c57e2b/Osasuna-Stats
ESP-La Liga,2324,Rayo Vallecano,1,20,26,1,1,3,2,26.2,0.28,2.2,0.11,96,328,29.3,483,89,47.4,40.2,174,56.9,47.1,303,9,3.0,16,0.8,13.8,/en/squads/98e8af82/Rayo-Vallecano-Stats
ESP-La Liga,2324,Real Madrid,2,20,13,0,0,0,1,16.3,0.29,4.3,0.22,36,98,36.7,472,96,16.1,23.1,156,14.1,21.9,242,14,5.8,21,1.05,13.9,/en/squads/53a2f082/Real-Madrid-Stats
ESP-La Liga,2324,Real Sociedad,2,21,21,3,0,1,1,22.9,0.25,2.9,0.14,123,294,41.8,654,74,33.0,32.4,118,66.1,49.5,277,15,5.4,36,1.72,16.6,/en/squads/e31d1cd9/Real-Sociedad-Stats
ESP-La Liga,2324,Sevilla,3,21,35,3,0,3,2,29.9,0.29,-3.1,-0.15,97,266,36.5,489,106,36.4,35.4,138,63.8,48.9,254,15,5.9,23,1.1,16.9,/en/squads/ad2be733/Sevilla-Stats
ESP-La Liga,2324,Valencia,1,21,24,2,0,2,1,26.8,0.3,3.8,0.18,104,365,28.5,461,80,58.8,41.7,144,65.3,50.7,314,29,9.2,18,0.86,11.6,/en/squads/dcc91a7b/Valencia-Stats
ESP-La Liga,2324,Villarreal,1,21,42,4,1,7,0,39.4,0.28,-2.6,-0.12,88,209,42.1,581,106,25.3,29.0,190,32.6,30.1,387,19,4.9,21,1.0,13.9,/en/squads/2a8183b3/Villarreal-Stats
