league,season,team,players_used,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,url
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
ESP-La Liga,2324,Alavés,27,21,47,1,0,278,245,38,454,145,201,4,7,2,1079,309,340,47.6,/en/squads/8d6fd021/Alaves-Stats
ESP-La Liga,2324,Almería,28,21,51,1,1,262,271,43,392,168,220,1,7,0,996,321,340,48.6,/en/squads/78ecf4bb/Almeria-Stats
ESP-La Liga,2324,Athletic Club,25,21,47,2,1,293,236,46,478,152,200,4,1,1,1215,305,308,49.8,/en/squads/2b390eca/Athletic-Club-Stats
ESP-La Liga,2324,Atlético Madrid,23,20,47,3,2,212,232,69,331,135,201,2,2,0,1049,232,196,54.2,/en/squads/db3b9613/Atletico-Madrid-Stats
ESP-La Liga,2324,Barcelona,27,20,48,1,0,217,262,58,363,129,200,3,0,0,993,259,221,54.0,/en/squads/206d90db/Barcelona-Stats
ESP-La Liga,2324,Betis,32,21,45,2,0,240,275,39,360,184,233,0,4,1,1113,240,267,47.3,/en/squads/fc536746/Real-Betis-Stats
ESP-La Liga,2324,Celta Vigo,26,21,39,5,2,263,288,32,420,179,208,2,5,0,1096,294,326,47.4,/en/squads/f25da7fb/Celta-Vigo-Stats
ESP-La Liga,2324,Cádiz,30,21,68,6,0,339,281,48,410,163,195,1,2,0,1025,355,370,49.0,/en/squads/ee7c297c/Cadiz-Stats
ESP-La Liga,2324,Getafe,26,20,84,9,4,335,227,33,413,170,181,2,4,0,1004,381,393,49.2,/en/squads/7848bd64/Getafe-Stats
ESP-La Liga,2324,Girona,23,21,43,1,0,237,245,49,414,140,192,3,2,0,1058,219,244,47.3,/en/squads/9024a00a/Girona-Stats
ESP-La Liga,2324,Granada,32,21,55,2,0,283,295,42,375,124,194,3,4,2,993,262,267,49.5,/en/squads/a0435291/Granada-Stats
ESP-La Liga,2324,Las Palmas,26,21,52,2,1,233,278,50,289,172,245,2,5,0,1112,246,280,46.8,/en/squads/0049d422/Las-Palmas-Stats
ESP-La Liga,2324,Mallorca,21,21,58,2,1,326,244,64,419,186,224,2,4,0,1059,416,373,52.7,/en/squads/2aa12281/Mallorca-Stats
ESP-La Liga,2324,Osasuna,24,20,46,3,0,282,215,37,427,146,167,3,2,0,1003,414,367,53.0,/en/squads/03c57e2b/Osasuna-Stats
ESP-La Liga,2324,Rayo Vallecano,24,20,59,3,2,325,282,57,353,159,177,3,2,2,1036,251,305,45.1,/en/squads/98e8af82/Rayo-Vallecano-Stats
ESP-La Liga,2324,Real Madrid,23,20,37,2,0,210,276,48,365,175,180,1,0,1,1002,168,143,54.0,/en/squads/53a2f082/Real-Madrid-Stats
ESP-La Liga,2324,Real Sociedad,28,21,57,1,0,348,258,48,331,146,219,1,3,1,1069,429,424,50.3,/en/squads/e31d1cd9/Real-Sociedad-Stats
ESP-La Liga,2324,Sevilla,33,21,61,3,0,267,290,53,662,183,252,1,3,2,1134,348,312,52.7,/en/squads/ad2be733/Sevilla-Stats
ESP-La Liga,2324,Valencia,25,21,44,4,2,280,264,34,300,181,227,2,3,1,1110,283,344,45.1,/en/squads/dcc91a7b/Valencia-Stats
ESP-La Liga,2324,Villarreal,28,21,62,4,1,273,270,56,329,154,203,3,4,0,953,273,194,58.5,/en/squads/2a8183b3/Villarreal-Stats
