league,season,team,players_used,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,url
ESP-La Liga,2324,Alavés,22,6,1596,2321,68.8,30783,13958,712,877,81.2,598,816,73.3,241,493,48.9,4,4.2,4.1,-0.2,55,148,39,19,199,/en/squads/8d6fd021/Alaves-Stats
ESP-La Liga,2324,Almería,23,6,2434,2968,82.0,43660,14992,1069,1180,90.6,1084,1236,87.7,231,418,55.3,4,7.7,5.9,-3.7,69,172,39,20,207,/en/squads/78ecf4bb/Almeria-Stats
ESP-La Liga,2324,Athletic Club,22,6,2318,3017,76.8,40592,15841,1086,1247,87.1,965,1150,83.9,217,460,47.2,7,6.2,6.1,0.8,48,196,49,17,246,/en/squads/2b390eca/Athletic-Club-Stats
ESP-La Liga,2324,Atlético Madrid,22,5,1937,2404,80.6,32884,12695,985,1114,88.4,701,810,86.5,198,338,58.6,8,6.2,5.9,1.8,42,156,51,13,205,/en/squads/db3b9613/Atletico-Madrid-Stats
ESP-La Liga,2324,Barcelona,23,6,3826,4298,89.0,59631,18460,2105,2243,93.8,1401,1549,90.4,229,337,68.0,11,9.4,9.4,1.6,75,327,73,16,326,/en/squads/206d90db/Barcelona-Stats
ESP-La Liga,2324,Betis,25,6,2376,2885,82.4,39740,14777,1185,1305,90.8,867,990,87.6,231,399,57.9,3,5.3,5.7,-2.3,65,168,60,12,237,/en/squads/fc536746/Real-Betis-Stats
ESP-La Liga,2324,Celta Vigo,22,6,1998,2624,76.1,33936,13482,945,1096,86.2,820,967,84.8,170,387,43.9,4,6.4,7.4,-2.4,71,180,52,16,213,/en/squads/f25da7fb/Celta-Vigo-Stats
ESP-La Liga,2324,Cádiz,22,6,1337,1930,69.3,27050,11760,536,656,81.7,535,684,78.2,222,468,47.4,3,3.2,4.2,-0.2,42,117,28,16,128,/en/squads/ee7c297c/Cadiz-Stats
ESP-La Liga,2324,Getafe,23,6,1270,1933,65.7,25976,12379,544,660,82.4,427,622,68.6,246,520,47.3,5,3.2,4.1,1.8,42,126,33,15,128,/en/squads/7848bd64/Getafe-Stats
ESP-La Liga,2324,Girona,20,6,2466,2970,83.0,41912,15023,1177,1275,92.3,1022,1151,88.8,193,384,50.3,11,8.4,7.8,2.6,53,164,48,9,175,/en/squads/9024a00a/Girona-Stats
ESP-La Liga,2324,Granada,25,6,1852,2482,74.6,35511,13319,762,874,87.2,800,964,83.0,258,508,50.8,7,4.4,4.6,2.6,40,121,35,11,142,/en/squads/a0435291/Granada-Stats
ESP-La Liga,2324,Las Palmas,22,6,2724,3302,82.5,43400,16058,1431,1567,91.3,1040,1195,87.0,174,358,48.6,1,3.7,4.3,-2.7,45,186,38,4,216,/en/squads/0049d422/Las-Palmas-Stats
ESP-La Liga,2324,Mallorca,21,6,1571,2130,73.8,28944,11468,725,831,87.2,592,746,79.4,203,421,48.2,4,4.3,3.6,-0.3,43,115,27,12,143,/en/squads/2aa12281/Mallorca-Stats
ESP-La Liga,2324,Osasuna,22,6,1833,2586,70.9,37088,15353,756,894,84.6,746,947,78.8,298,605,49.3,3,4.1,5.2,-1.1,49,195,34,15,195,/en/squads/03c57e2b/Osasuna-Stats
ESP-La Liga,2324,Rayo Vallecano,22,6,1920,2556,75.1,37427,15267,818,953,85.8,778,933,83.4,282,517,54.5,4,5.8,5.0,-1.8,64,183,51,14,199,/en/squads/98e8af82/Rayo-Vallecano-Stats
ESP-La Liga,2324,Real Madrid,20,6,3428,3927,87.3,54949,17785,1847,1979,93.3,1227,1367,89.8,266,405,65.7,7,6.9,9.8,0.1,87,299,80,13,350,/en/squads/53a2f082/Real-Madrid-Stats
ESP-La Liga,2324,Real Sociedad,21,6,2377,2980,79.8,42468,14771,1000,1143,87.5,1100,1286,85.5,216,405,53.3,8,6.2,5.2,1.8,56,187,33,7,207,/en/squads/e31d1cd9/Real-Sociedad-Stats
ESP-La Liga,2324,Sevilla,25,5,1799,2450,73.4,32904,12403,813,948,85.8,720,911,79.0,214,429,49.9,2,3.8,5.5,-1.8,55,161,43,20,204,/en/squads/ad2be733/Sevilla-Stats
ESP-La Liga,2324,Valencia,22,6,2033,2646,76.8,35980,12069,901,1033,87.2,900,1053,85.5,180,420,42.9,6,5.0,4.0,1.0,50,138,36,8,188,/en/squads/dcc91a7b/Valencia-Stats
ESP-La Liga,2324,Villarreal,23,6,2601,3090,84.2,45391,16994,1261,1379,91.4,1043,1169,89.2,248,400,62.0,7,5.8,6.3,1.2,57,215,62,11,262,/en/squads/2a8183b3/Villarreal-Stats
