league,season,team,players_used,Age,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,url
ESP-La Liga,2324,Alavés,27,26.6,21,1890,90,100,21,231,82,125,105,16,143,1.1,19,27,-8,-0.38,26.9,24.5,2.4,0.11,/en/squads/8d6fd021/Alaves-Stats
ESP-La Liga,2324,Almería,28,25.8,21,1890,90,100,21,231,81,132,99,20,142,0.29,21,46,-25,-1.19,27.3,36.3,-9.0,-0.43,/en/squads/78ecf4bb/Almeria-Stats
ESP-La Liga,2324,Athletic Club,25,27.9,21,1890,90,100,21,231,81,126,103,19,140,1.95,38,21,17,0.81,36.7,20.8,15.9,0.76,/en/squads/2b390eca/Athletic-Club-Stats
ESP-La Liga,2324,Atlético Madrid,23,29.9,20,1800,90,100,20,220,78,124,94,26,108,2.05,40,23,17,0.85,34.2,22.9,11.3,0.57,/en/squads/db3b9613/Atletico-Madrid-Stats
ESP-La Liga,2324,Barcelona,27,26.7,20,1800,90,100,20,220,81,140,79,23,119,2.2,40,24,16,0.8,46.1,21.3,24.8,1.24,/en/squads/206d90db/Barcelona-Stats
ESP-La Liga,2324,Betis,32,28.4,21,1890,90,100,21,231,80,141,89,25,137,1.48,24,24,0,0.0,26.0,28.3,-2.3,-0.11,/en/squads/fc536746/Real-Betis-Stats
ESP-La Liga,2324,Celta Vigo,26,27.3,21,1890,90,100,21,231,83,142,86,18,155,0.81,21,31,-10,-0.48,27.7,30.1,-2.4,-0.11,/en/squads/f25da7fb/Celta-Vigo-Stats
ESP-La Liga,2324,Cádiz,30,29.4,21,1890,90,100,21,231,79,123,104,22,138,0.71,15,31,-16,-0.76,17.5,31.8,-14.3,-0.68,/en/squads/ee7c297c/Cadiz-Stats
ESP-La Liga,2324,Getafe,26,28.4,20,1800,90,100,20,220,80,127,87,21,115,1.3,26,28,-2,-0.1,23.0,27.3,-4.3,-0.22,/en/squads/7848bd64/Getafe-Stats
ESP-La Liga,2324,Girona,23,26.6,21,1890,90,100,21,231,82,134,97,19,124,2.48,51,25,26,1.24,38.6,29.7,8.9,0.42,/en/squads/9024a00a/Girona-Stats
ESP-La Liga,2324,Granada,32,27.5,21,1890,90,100,21,231,82,129,101,18,132,0.52,22,42,-20,-0.95,23.8,36.0,-12.3,-0.59,/en/squads/a0435291/Granada-Stats
ESP-La Liga,2324,Las Palmas,26,26.2,21,1890,90,100,21,231,81,136,94,21,148,1.48,21,17,4,0.19,17.4,30.1,-12.8,-0.61,/en/squads/0049d422/Las-Palmas-Stats
ESP-La Liga,2324,Mallorca,21,29.0,21,1890,90,100,21,231,80,128,102,21,150,0.95,19,25,-6,-0.29,23.0,26.9,-3.9,-0.19,/en/squads/2aa12281/Mallorca-Stats
ESP-La Liga,2324,Osasuna,24,28.6,20,1800,90,100,20,220,82,120,99,18,129,1.25,25,31,-6,-0.3,22.8,26.7,-3.8,-0.19,/en/squads/03c57e2b/Osasuna-Stats
ESP-La Liga,2324,Rayo Vallecano,24,30.1,20,1800,90,100,20,220,81,119,98,20,138,1.15,18,26,-8,-0.4,24.8,27.5,-2.7,-0.13,/en/squads/98e8af82/Rayo-Vallecano-Stats
ESP-La Liga,2324,Real Madrid,23,28.0,20,1800,90,100,20,220,82,129,89,21,94,2.55,43,13,30,1.5,35.1,19.4,15.7,0.79,/en/squads/53a2f082/Real-Madrid-Stats
ESP-La Liga,2324,Real Sociedad,28,26.3,21,1890,90,100,21,231,80,135,98,23,152,1.67,32,21,11,0.52,26.8,24.2,2.5,0.12,/en/squads/e31d1cd9/Real-Sociedad-Stats
ESP-La Liga,2324,Sevilla,33,29.6,21,1890,90,100,21,231,81,139,89,22,156,0.76,26,35,-9,-0.43,22.5,31.1,-8.6,-0.41,/en/squads/ad2be733/Sevilla-Stats
ESP-La Liga,2324,Valencia,25,24.6,21,1890,90,100,21,231,81,131,98,19,129,1.52,27,24,3,0.14,23.0,22.9,0.1,0.0,/en/squads/dcc91a7b/Valencia-Stats
ESP-La Liga,2324,Villarreal,28,28.3,21,1890,90,100,21,231,79,130,99,23,108,0.95,28,42,-14,-0.67,29.8,35.1,-5.3,-0.25,/en/squads/2a8183b3/Villarreal-Stats
