league,season,team,players_used,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,url
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,
ESP-La Liga,2324,Alavés,27,21,16,265,72,27.2,12.62,3.43,0.05,0.19,17.6,11,2,4,26.9,23.7,0.09,-10.9,-9.7,/en/squads/8d6fd021/Alaves-Stats
ESP-La Liga,2324,Almería,28,21,21,262,86,32.8,12.48,4.1,0.08,0.23,18.4,11,1,1,27.3,26.5,0.1,-6.3,-6.5,/en/squads/78ecf4bb/Almeria-Stats
ESP-La Liga,2324,Athletic Club,25,21,37,282,105,37.2,13.43,5.0,0.12,0.32,15.2,3,3,5,36.7,32.7,0.12,0.3,1.3,/en/squads/2b390eca/Athletic-Club-Stats
ESP-La Liga,2324,Atlético Madrid,23,20,40,248,105,42.3,12.4,5.25,0.15,0.35,15.5,5,3,3,34.2,32.0,0.13,5.8,5.0,/en/squads/db3b9613/Atletico-Madrid-Stats
ESP-La Liga,2324,Barcelona,27,20,38,328,122,37.2,16.4,6.1,0.11,0.29,16.1,11,3,3,46.1,43.8,0.14,-8.1,-8.8,/en/squads/206d90db/Barcelona-Stats
ESP-La Liga,2324,Betis,32,21,24,291,83,28.5,13.86,3.95,0.08,0.29,16.7,6,0,0,26.0,26.0,0.09,-2.0,-2.0,/en/squads/fc536746/Real-Betis-Stats
ESP-La Liga,2324,Celta Vigo,26,21,20,274,80,29.2,13.05,3.81,0.07,0.24,18.0,12,1,3,27.7,25.5,0.09,-7.7,-6.5,/en/squads/f25da7fb/Celta-Vigo-Stats
ESP-La Liga,2324,Cádiz,30,21,15,195,58,29.7,9.29,2.76,0.07,0.22,18.4,14,2,2,17.5,16.0,0.08,-2.5,-3.0,/en/squads/ee7c297c/Cadiz-Stats
ESP-La Liga,2324,Getafe,26,20,26,229,84,36.7,11.45,4.2,0.09,0.25,17.9,2,5,5,23.0,19.1,0.08,3.0,1.9,/en/squads/7848bd64/Getafe-Stats
ESP-La Liga,2324,Girona,23,21,51,268,101,37.7,12.76,4.81,0.18,0.48,16.4,5,3,3,38.6,36.3,0.14,12.4,11.7,/en/squads/9024a00a/Girona-Stats
ESP-La Liga,2324,Granada,32,21,20,219,75,34.2,10.43,3.57,0.08,0.23,16.8,8,3,4,23.8,20.6,0.09,-3.8,-3.6,/en/squads/a0435291/Granada-Stats
ESP-La Liga,2324,Las Palmas,26,21,21,207,65,31.4,9.86,3.1,0.09,0.28,20.9,11,3,4,17.4,14.2,0.07,3.6,3.8,/en/squads/0049d422/Las-Palmas-Stats
ESP-La Liga,2324,Mallorca,21,21,19,229,69,30.1,10.9,3.29,0.08,0.26,17.0,3,1,3,23.0,20.7,0.09,-4.0,-2.7,/en/squads/2aa12281/Mallorca-Stats
ESP-La Liga,2324,Osasuna,24,20,25,228,71,31.1,11.4,3.55,0.09,0.3,17.7,7,4,4,22.8,19.7,0.09,2.2,1.3,/en/squads/03c57e2b/Osasuna-Stats
ESP-La Liga,2324,Rayo Vallecano,24,20,18,253,92,36.4,12.65,4.6,0.05,0.14,20.6,24,5,5,24.8,20.9,0.08,-6.8,-7.9,/en/squads/98e8af82/Rayo-Vallecano-Stats
ESP-La Liga,2324,Real Madrid,23,20,43,331,122,36.9,16.55,6.1,0.13,0.34,17.7,16,1,3,35.1,33.0,0.1,7.9,9.0,/en/squads/53a2f082/Real-Madrid-Stats
ESP-La Liga,2324,Real Sociedad,28,21,30,249,81,32.5,11.86,3.86,0.11,0.33,17.8,15,3,3,26.8,24.4,0.1,3.2,2.6,/en/squads/e31d1cd9/Real-Sociedad-Stats
ESP-La Liga,2324,Sevilla,33,21,24,313,94,30.0,14.9,4.48,0.07,0.24,18.0,12,1,1,22.5,21.7,0.07,1.5,1.3,/en/squads/ad2be733/Sevilla-Stats
ESP-La Liga,2324,Valencia,25,21,27,197,69,35.0,9.38,3.29,0.12,0.33,18.7,12,4,4,23.0,19.9,0.1,4.0,3.1,/en/squads/dcc91a7b/Valencia-Stats
ESP-La Liga,2324,Villarreal,28,21,28,237,83,35.0,11.29,3.95,0.1,0.29,15.8,5,4,4,29.8,26.7,0.11,-1.8,-2.7,/en/squads/2a8183b3/Villarreal-Stats
